company,sector,fy,price,label,ebitda_margin,net_margin,roe,roce,debt_to_equity,net_debt_to_ebitda,interest_free_proxy,capex_to_revenue,ocf_to_ebitda,accruals_ratio,asset_turnover,earnings_yield,book_to_price,fcf_yield,ev_ebitda,revenue_growth_1y,ebitda_growth_1y,eps_growth_1y,beta,log_market_cap,cap_tier_ord,sector_Automobile and Auto Components,sector_Banking Financial Services and Insurance,sector_Cement and Building Materials,sector_Defence and Aerospace,sector_IT and Software,sector_Infrastructure and Construction,sector_Jewellery and Retail,sector_Metals Mining and Materials,sector_Oil Gas and Energy,sector_Pharmaceuticals and Healthcare,sector_Trading and Diversified
Sigma Advanced Systems Limited,Defence and Aerospace,2025,70.01653214423887,2.0074021389590317,0.5314868288684377,-0.13026379522336898,-0.09733082500064379,0.1762654414387152,0.9654714503160123,2.2639002564044146,0.0,0.16221450128544282,0.3395754868266317,-0.09154877591293697,0.2946118544525891,-0.011283049528539143,0.27817559307739576,0.003796425002769782,11.316259767568116,0.28789954554562436,1.0039370493553565,0.40594697783046196,1.703,22.36519464629573,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JK Cement Limited,Cement and Building Materials,2021,1753.24478357767,1.7723705312421663,0.14640672662207363,0.04456881666461484,0.09042912040990607,0.0897192851723652,0.0,0.0,1.0,0.16955974128052878,0.9897082815273716,-0.07165654277772059,0.7142004732914952,0.02585394054602555,0.2859028201184779,-0.014304907114211462,11.774523122686315,0.10272177857650111,0.1526252410070073,0.15524138696701434,0.412,25.632017216862433,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JK Cement Limited,Cement and Building Materials,2022,3107.3993884671117,0.8546223639053043,0.14640672662207366,0.04456881666461484,0.09042912040990607,0.08971928517236519,0.0,0.0,1.0,0.16955974128052878,0.9897082815273714,-0.07165654277772057,0.7142004732914952,0.016041671925729632,0.17739497910644664,-0.008875808561781986,18.976689099561494,0.09970805194679323,0.09970805194679327,0.09970805194679336,0.412,26.20433515059605,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JK Cement Limited,Cement and Building Materials,2023,2655.65301096966,1.3172231632279916,0.14640672662207366,0.04456881666461484,0.09042912040990607,0.0897192851723652,1.1298420153714774,3.1549651073371616,0.0,0.1695597412805288,0.9897082815273716,-0.07165654277772059,0.714200473291495,0.02064275708217752,0.22826770646024008,-0.011421182682754456,17.90242728027752,0.09970805194679315,0.09970805194679316,0.09974583302613586,0.412,26.04723956333857,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JK Cement Limited,Cement and Building Materials,2024,3498.087659545396,1.2566079019242444,0.19546799612588206,0.07059374874470545,0.14734663153933006,0.14228272479794185,1.0344503776685534,1.7504589585978243,0.0,0.10467081155629746,0.8946724268634633,-0.0789259632079232,0.7568216671958709,0.029258843677262558,0.19856886505823504,0.02909899569334935,14.093984459239737,0.1787529738323795,0.5737561178947974,0.8670193360087558,0.412,26.322765419905963,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JK Cement Limited,Cement and Building Materials,2025,4395.72459460843,1.339945266725053,0.19964135970090688,0.07492293409875746,0.14142270133914053,0.13254640024300043,0.9900229595104599,1.693326825186528,0.0,0.14963357262988095,0.8452121539641587,-0.06463847783928951,0.6889893325260542,0.025351906745178388,0.17927221766525922,0.0064651856759447845,16.49572690638194,0.02596373147185239,0.047868696740252265,0.0888128969223254,0.412,26.55118136920988,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Godawari Power and Ispat Limited,Cement and Building Materials,2021,82.75010036177424,3.651001809755103,0.21260231971154642,0.1381028508335777,0.2031523671879857,0.26066971570352915,0.0,0.0,1.0,0.07931577250883959,0.81333416953093,-0.038765629299827284,1.1135107306439038,0.15749454212997727,0.7752532953959661,0.10674392334426995,4.124479380007984,0.10272177857650111,0.1526252410070073,0.15524138696701434,0.728,24.709226848883453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Godawari Power and Ispat Limited,Cement and Building Materials,2022,302.12076617825414,1.0841498309040332,0.2126023197115464,0.13810285083357768,0.20315236718798568,0.2606697157035292,0.0,0.0,1.0,0.07931577250883959,0.81333416953093,-0.03876562929982729,1.1135107306439038,0.04172793446796355,0.2054021572357603,0.028281636797845677,15.567101505529939,-0.0326727377374976,-0.03267273773749776,-0.03267273773749767,0.728,26.00422844724434,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Godawari Power and Ispat Limited,Cement and Building Materials,2023,327.5441775647512,1.358180872415509,0.21260231971154642,0.13810285083357768,0.2031523671879857,0.26066971570352915,0.08108743048564616,-0.23978454593856452,0.0,0.07931577250883959,0.81333416953093,-0.03876562929982729,1.1135107306439038,0.03734458078584497,0.17477281179543486,0.024064309994871764,18.05548803276479,-0.03267273773749759,-0.03267273773749748,-0.02973580024097171,0.728,26.132492924780166,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Godawari Power and Ispat Limited,Cement and Building Materials,2024,444.8642368395142,0.4339876954125975,0.26056014274671463,0.17173401187094417,0.20804406323062652,0.2662106462666992,0.0114831684069471,-0.5767363509147401,0.0,0.07761568935965926,0.7359704703565192,-0.01967373677794023,0.9821861104524883,0.03347088564768492,0.15377071230298064,0.02126396740939935,20.025737838727483,-0.05196673898104988,0.16188610808612627,0.21729888816219764,0.728,26.40130604214557,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Godawari Power and Ispat Limited,Cement and Building Materials,2025,193.06560491746473,1.1892741593643756,0.2423112767940354,0.15098786583403556,0.16544487318610826,0.21984596661275116,0.06294934150425177,-0.29562436665131275,0.0,0.10012407617198037,0.6874405036081683,-0.013608421701455167,0.8730779423936459,0.0680597665525008,0.39306970788225526,0.028620628171091126,9.286140976130946,-0.012986072545017834,-0.08211362469355342,-0.11752854264607118,0.728,25.550075045853916,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taparia Tools Limited,Cement and Building Materials,2021,17.152742139754757,1.001838313443864,0.13231906011565792,0.0971882972444437,0.26746998556881146,0.35352575313995444,0.0,0.0,1.0,0.002370836321180188,0.8602608112774471,-0.03547080956357215,2.131581759146136,2.3094896633827617,8.634575047631294,2.648582780953207,0.31803545846239833,0.10272177857650111,0.1526252410070073,0.15524138696701434,1.0,19.377568327785184,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taparia Tools Limited,Cement and Building Materials,2022,17.1842742562294,0.13566105901952002,0.1323190601156579,0.09718829724444367,0.26746998556881146,0.35352575313995444,0.0,0.0,1.0,0.0023708363211801878,0.8602608112774471,-0.03547080956357217,2.1315817591461363,2.5281625031233554,9.452135340520067,2.8993624779494467,0.29052705393766715,0.0966968583575542,0.09669685835755405,0.09669685835755415,1.0,19.379404953598833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taparia Tools Limited,Cement and Building Materials,2023,2.331236844081955,1.112533235839493,0.1323190601156579,0.09718829724444368,0.26746998556881146,0.35352575313995444,0.002128803720302707,-0.9052588815989925,0.0,0.0023708363211801878,0.8602608112774471,-0.035470809563572146,2.1315817591461363,20.439793631849813,76.41220962360168,23.43879826711078,-0.8693208941042139,0.0966968583575543,0.09669685835755436,0.09679818714639432,1.0,17.38180594245499,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taparia Tools Limited,Cement and Building Materials,2024,2.5935784696547453,3.1209439387044893,0.16530818532462965,0.12217649456215582,0.3151567015826053,0.41734915850045595,0.001037085193563438,-1.1188098347758253,0.0,0.0013150069999813855,0.8631187016756515,-0.04087847546146403,1.993674043043364,25.343362758848752,80.41203417227216,29.32267668905389,-1.089645927626528,0.09735990805853205,0.3709481830553919,0.37943336831059826,1.0,17.488445551978906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taparia Tools Limited,Cement and Building Materials,2025,8.094413004423442,2.039138300586675,0.18715339098893108,0.13689420448839465,0.33021408786731204,0.4380198329096883,0.005608712397572271,-0.9724753717741218,0.0,0.00787537237738055,0.4727222361193283,0.09811218837004078,2.0261637633801493,9.972310525283063,30.198650888317605,5.871007389234705,-0.8991246784997022,0.09603420928621743,0.24087333307157838,0.2280541609615091,1.0,18.626581052499517,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chennai Petroleum Corporation Limited,Oil Gas and Energy,2021,83.34277121608994,1.4040683961056883,0.07451143237349168,0.04608693711675837,0.5454033000364474,0.5433346909198618,0.0,0.0,1.0,0.005451693169964806,1.0068883622931784,-0.13827730041761999,4.7784387859649256,3.6789543302715266,6.745383333811282,5.553762282944466,0.16812431876579537,0.10272177857650111,0.1526252410070073,0.15524138696701434,1.0,23.241823933548595,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
