ticker,name,sector,cap_bucket,mcap_cr,price,high_52w,down_from_high_pct,pe,roce_min_observed,roce_avg,roce_years_available,sales_cagr_pct,de_ratio,fy_complete,fii_pct_unverified,passes,fail_reasons,notes,errors,ROCE_FY2021,ROCE_FY2022,ROCE_FY2023,ROCE_FY2024,ROCE_FY2025
INOXWIND.NS,Inox Wind Limited,Power and Renewable Energy,Small,12771.7,73.9000015258789,159.3000030517578,53.61,30.54,-12.91,1.09,3,120.63,0.3,3,21.3,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,-12.91,3.88,12.3
KPIGREEN.NS,KPI Green Energy Limited,Power and Renewable Energy,Small,6069.5,307.04998779296875,542.25,43.37,13.29,13.02,17.77,3,64.19,0.61,3,5.34,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,20.96,19.32,13.02
INOXGREEN.NS,Inox Green Energy Services Limited,Power and Renewable Energy,Small,7029.3,175.0800018310547,279.0,37.25,55.23,1.76,2.72,3,5.57,0.09,3,5.04,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 55.23 above ceiling 40.0,,,,,1.76,3.33,3.08
WAAREEENER.NS,WAAREE ENERGIES LIMITED,Power and Renewable Energy,Large,76946.7,2675.0,3865.0,30.79,20.17,24.78,28.77,3,47.85,0.16,3,8.64,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,29.98,31.55,24.78
PREMIERENE.NS,PREMIER ENERGIES LIMITED,Power and Renewable Energy,Mid,46950.4,1040.0,1134.0,8.29,27.9,3.74,20.38,3,113.7,0.69,3,19.81,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,3.74,22.47,34.93
GREENPOWER.NS,Orient Green Power Company Limited,Power and Renewable Energy,Small,1119.1,9.539999961853027,14.930000305175781,36.1,17.67,6.85,8.21,3,0.4,0.51,3,1.79,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,9.55,8.24,6.85
JPPOWER.NS,Jaiprakash Power Ventures Limited,Power and Renewable Energy,Small,11719.4,17.100000381469727,24.5,30.2,24.43,5.27,8.71,3,-2.78,0.31,3,11.15,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,5.27,10.9,9.95
DIXON.NS,Dixon Technologies (India) Limited,Semiconductor and Electronics Manufacturing,Large,90290.8,14850.0,18471.0,19.6,43.51,23.07,29.8,3,78.67,0.22,3,35.77,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 43.51 above ceiling 40.0,,,,,23.07,25.01,41.33
KAYNES.NS,Kaynes Technology India Limited,Semiconductor and Electronics Manufacturing,Mid,25645.4,3815.0,7705.0,50.49,74.47,11.19,14.34,3,55.47,0.32,3,16.28,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 74.47 above ceiling 40.0,,,,,15.86,11.19,15.98
SYRMA.NS,Syrma SGS Technology Limited,Semiconductor and Electronics Manufacturing,Mid,27809.3,1443.699951171875,1543.0,6.44,74.88,11.05,12.51,3,35.97,0.38,3,17.23,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 74.88 above ceiling 40.0,,,,,11.85,11.05,14.62
AVALON.NS,Avalon Technologies Limited,Semiconductor and Electronics Manufacturing,Mid,15002.6,2245.5,2351.0,4.49,112.33,7.41,12.45,3,7.93,0.27,3,26.82,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 112.33 above ceiling 40.0,,,,,14.54,7.41,15.41
CENTUM.NS,Centum Electronics Limited,Semiconductor and Electronics Manufacturing,Small,5087.0,3446.0,3968.800048828125,13.17,54.12,9.23,12.16,3,-8.62,0.46,3,19.09,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 54.12 above ceiling 40.0,,,,,9.23,9.48,17.77
AMBER.NS,Amber Enterprises India Limited,Semiconductor and Electronics Manufacturing,Mid,25657.3,7275.0,8974.0,18.93,278.74,10.4,12.22,3,21.59,0.9,3,39.88,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 278.74 above ceiling 40.0,,,,,11.32,10.4,14.95
