Company name,Financial Year,Model,Value,Estimated?,Method
Sigma Advanced Systems Limited,2021,(Random Forest) Intrinsic Value,8.99,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Sigma Advanced Systems Limited,2021,(LightGBM) Intrinsic Value,6.68,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
JK Cement Limited,2025,Market Price,4395.72,no,directly computed from reported figures
JK Cement Limited,2025,(P/E Relative Valuation) Intrinsic Value,3016.55,YES,sector median including self (too few peers)
JK Cement Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,3325.24,YES,sector median including self (too few peers)
JK Cement Limited,2025,(XGBoost) Intrinsic Value,5171.62,no,directly computed from reported figures
JK Cement Limited,2025,(Random Forest) Intrinsic Value,5646.98,no,directly computed from reported figures
JK Cement Limited,2025,(LightGBM) Intrinsic Value,4421.42,no,directly computed from reported figures
JK Cement Limited,2024,Market Price,3498.09,no,directly computed from reported figures
JK Cement Limited,2024,(DCF) Intrinsic Value,1813.13,no,directly computed from reported figures
JK Cement Limited,2024,(P/E Relative Valuation) Intrinsic Value,3277.98,YES,sector median including self (too few peers)
JK Cement Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,4338.6,YES,sector median including self (too few peers)
JK Cement Limited,2024,(XGBoost) Intrinsic Value,4867.26,no,directly computed from reported figures
JK Cement Limited,2024,(Random Forest) Intrinsic Value,5059.48,no,directly computed from reported figures
JK Cement Limited,2024,(LightGBM) Intrinsic Value,4433.9,no,directly computed from reported figures
JK Cement Limited,2023,Market Price,2655.65,no,directly computed from reported figures
JK Cement Limited,2023,(P/E Relative Valuation) Intrinsic Value,2061.8,YES,sector median including self (too few peers)
JK Cement Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,2669.43,YES,sector median including self (too few peers)
JK Cement Limited,2023,(XGBoost) Intrinsic Value,2157.63,no,directly computed from reported figures
JK Cement Limited,2023,(Random Forest) Intrinsic Value,2910.46,no,directly computed from reported figures
JK Cement Limited,2023,(LightGBM) Intrinsic Value,1803.44,no,directly computed from reported figures
JK Cement Limited,2022,Market Price,3107.4,no,directly computed from reported figures
JK Cement Limited,2022,(P/E Relative Valuation) Intrinsic Value,2151.0,YES,sector median including self (too few peers); eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
JK Cement Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,2828.24,YES,sector median including self (too few peers); ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
JK Cement Limited,2022,(XGBoost) Intrinsic Value,5647.22,no,directly computed from reported figures
JK Cement Limited,2022,(Random Forest) Intrinsic Value,5597.52,no,directly computed from reported figures
JK Cement Limited,2022,(LightGBM) Intrinsic Value,4063.77,no,directly computed from reported figures
JK Cement Limited,2021,Market Price,1753.24,no,directly computed from reported figures
JK Cement Limited,2021,(P/E Relative Valuation) Intrinsic Value,1020.53,YES,sector median including self (too few peers); eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
JK Cement Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,1183.69,YES,sector median including self (too few peers); ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
JK Cement Limited,2021,(XGBoost) Intrinsic Value,1861.48,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
JK Cement Limited,2021,(Random Forest) Intrinsic Value,1896.28,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
JK Cement Limited,2021,(LightGBM) Intrinsic Value,1803.1,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Godawari Power and Ispat Limited,2025,Market Price,193.07,no,directly computed from reported figures
Godawari Power and Ispat Limited,2025,(DCF) Intrinsic Value,98.31,no,directly computed from reported figures
Godawari Power and Ispat Limited,2025,(P/E Relative Valuation) Intrinsic Value,355.68,YES,sector median including self (too few peers)
Godawari Power and Ispat Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,265.7,YES,sector median including self (too few peers)
Godawari Power and Ispat Limited,2025,(XGBoost) Intrinsic Value,240.27,no,directly computed from reported figures
Godawari Power and Ispat Limited,2025,(Random Forest) Intrinsic Value,249.24,no,directly computed from reported figures
Godawari Power and Ispat Limited,2025,(LightGBM) Intrinsic Value,224.0,no,directly computed from reported figures
Godawari Power and Ispat Limited,2024,Market Price,444.86,no,directly computed from reported figures
Godawari Power and Ispat Limited,2024,(DCF) Intrinsic Value,217.97,no,directly computed from reported figures
Godawari Power and Ispat Limited,2024,(P/E Relative Valuation) Intrinsic Value,476.89,YES,sector median including self (too few peers)
Godawari Power and Ispat Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,380.82,YES,sector median including self (too few peers)
Godawari Power and Ispat Limited,2024,(XGBoost) Intrinsic Value,811.35,no,directly computed from reported figures
Godawari Power and Ispat Limited,2024,(Random Forest) Intrinsic Value,654.17,no,directly computed from reported figures
